2016-01-23	14
2016-01-24	14
2016-01-25	14
2016-01-26	14
2016-01-27	14
2016-01-28	14
2016-01-29	14
2016-01-30	14
2016-01-31	14
2016-02-01	14
2016-02-02	13
2016-02-03	13
2016-02-04	13
2016-02-05	13
2016-02-06	12
2016-02-07	12
2016-02-08	12
2016-02-09	12
2016-02-10	12
2016-02-11	12
2016-02-12	12
2016-02-13	12
2016-02-14	10
2016-02-15	10
2016-02-16	11
2016-02-17	11
2016-02-18	11
2016-02-19	11
2016-02-20	11
2016-02-21	11
2016-02-22	11
2016-02-23	11
